11	30.71 	61.52 	10.05 	32.74 	1.20 	0.00 	0.31 	39.28 
11	24.52 	53.79 	10.45 	30.74 	1.13 	0.00 	0.34 	34.84 
11	17.98 	40.90 	9.95 	25.74 	1.00 	0.00 	0.41 	25.74 
11	15.86 	32.91 	6.84 	17.87 	0.70 	0.00 	0.39 	12.51 
12	39.14 	65.28 	0.01 	26.53 	1.40 	0.00 	0.00 	37.14 
12	33.57 	66.08 	2.81 	32.73 	1.30 	0.00 	0.09 	42.55 
12	26.56 	55.21 	9.56 	30.38 	1.20 	0.00 	0.33 	36.46 
12	22.34 	43.97 	7.67 	25.61 	1.00 	0.00 	0.34 	25.61 
12	15.87 	32.26 	7.20 	18.33 	0.97 	0.00 	0.43 	17.72 
12	14.25 	28.07 	7.51 	15.28 	1.20 	0.00 	0.50 	18.34 
13	35.82 	55.97 	0.87 	20.45 	1.20 	0.00 	0.03 	24.53 
13	35.82 	66.56 	2.00 	30.94 	1.17 	0.00 	0.06 	36.10 
13	29.33 	60.63 	9.37 	32.46 	1.10 	0.00 	0.30 	35.70 
13	22.44 	47.90 	9.90 	27.43 	1.00 	0.00 	0.37 	27.43 
13	18.11 	41.49 	12.30 	26.38 	0.85 	0.00 	0.49 	22.42 
14	26.60 	48.56 	2.57 	23.16 	0.97 	0.00 	0.15 	22.39 
14	26.24 	49.67 	2.64 	23.66 	1.00 	0.00 	0.10 	23.66 
14	22.02 	43.87 	8.82 	23.76 	0.97 	0.00 	0.39 	22.97 
15	25.48 	40.16 	2.30 	15.31 	0.93 	0.00 	0.14 	14.29 
15	24.42 	53.26 	6.19 	29.21 	1.00 	0.00 	0.22 	29.21 
15	20.95 	44.21 	7.43 	25.13 	0.93 	0.00 	0.32 	23.45 
15	17.62 	37.29 	8.07 	21.32 	0.90 	0.00 	0.40 	19.19 
16	28.86 	54.03 	3.35 	25.60 	0.90 	0.00 	0.13 	23.04 
16	26.13 	47.35 	7.06 	23.57 	0.90 	0.00 	0.45 	21.22 
16	21.64 	49.20 	11.58 	29.60 	1.05 	0.00 	0.41 	31.08 
